accuracy,loss,val_accuracy,val_loss
0.3320610821247101,3.6624538898468018,0.353689581155777,2.4105186462402344
0.4783715009689331,3.3693161010742188,0.6081424951553345,1.056011438369751
0.5788804292678833,3.2467801570892334,0.6234096884727478,0.9479067325592041
0.6036895513534546,3.1810929775238037,0.6870229244232178,0.8311560750007629
0.6424936652183533,3.118903398513794,0.6895674467086792,0.7907344698905945
0.6603053212165833,3.0688295364379883,0.6972010135650635,0.7794545888900757
0.6571246981620789,3.032343626022339,0.6844783425331116,0.7509174942970276
0.661577582359314,3.006316661834717,0.6844783425331116,0.767640233039856
0.6723918318748474,2.9915106296539307,0.6793892979621887,0.7401952147483826
0.677480936050415,2.9765048027038574,0.6819338202476501,0.7385435700416565
