,precision,recall,f1-score,support
Agreement Date,0.6238532110091743,0.9714285714285714,0.7597765363128491,70.0
Agreement Date-Answer,0.5686274509803921,0.90625,0.6987951807228916,64.0
Anti-assignment,0.9107142857142857,0.9107142857142857,0.9107142857142857,56.0
Cap on Liability,0.9743589743589743,0.926829268292683,0.95,41.0
Document Name,1.0,0.9782608695652174,0.989010989010989,46.0
Effective Date,0.6666666666666666,0.17543859649122806,0.2777777777777778,57.0
Effective Date-Answer,0.36363636363636365,0.08163265306122448,0.13333333333333333,49.0
Expiration Date,0.855072463768116,0.9516129032258065,0.9007633587786259,62.0
Governing Law,1.0,0.9545454545454546,0.9767441860465116,66.0
License Grant,0.8780487804878049,0.9473684210526315,0.9113924050632911,38.0
Parties,1.0,1.0,1.0,76.0
Parties-Answer,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.8189553902590219,0.8147845297258697,0.7906811520477196,700.0
weighted avg,0.8217080204270477,0.83,0.8002195858157034,700.0
