config,optimizer,lr,wd,batch_size,train_acc,val_acc,test_acc
1,Adam,0.0008,0.0001,64,0.7125658389766741,0.5684210526315789,0.5649122807017544
2,Adam,0.001,0.0001,64,0.6869826937547028,0.5719298245614035,0.5754385964912281
3,Adam,0.0005,0.0001,64,0.7005267118133935,0.5614035087719298,0.5719298245614035
4,RMSprop,0.0008,0.0,64,0.7065462753950339,0.5649122807017544,0.5719298245614035
